Non Functional Log
De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:53:36	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:54:43	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:57:45	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 12:02:00	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:03:33	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:04:21	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:07:39	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:08:45	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mvcframework.countries' doesn't exist	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:12:36	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:15:08	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:16:57	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:18:17	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:18:33	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 20-Jun-2022 21:17:29	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'easydriveforall.country' doesn't exist	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:23:42	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:24:28	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:26:24	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:28:55	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:31:44	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:32:08	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:37:06	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:38:06	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:39:04	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
Datum/tijd: 20-Jun-2022 21:39:33	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.nl' for key 'PRIMARY'	file: C:\Users\steve\Downloads\examen\project\app\models\Visitor.php method: Visitor::signupForLessonpackage linenumber: 36	
